date,account,ticker,shares,entry_price,exit_price,close_type,pnl_abs,pnl_pct
2026-05-20,INDIVIDUAL,CDNS,29,344.62,338.12,STOP,-188.50,-1.89
2026-05-20,INDIVIDUAL,AMZN,38,258.71,259.34,STOP,23.94,0.24
2026-05-20,INDIVIDUAL,GOOGL,25,393.33,384.66,STOP,-216.75,-2.20
2026-05-21,INDIVIDUAL,GOOGL,25,384.66,384.31,STOP,-8.75,-0.09
2026-05-22,INDIVIDUAL,SBUX,93,106.54,104.13,STOP,-224.13,-2.26
2026-05-22,INDIVIDUAL,CDNS,28,346.23,381.43,TARGET,985.60,10.17
2026-05-22,INDIVIDUAL,COST,9,1048.41,1030.12,STOP,-164.61,-1.74
2026-05-23,INDIVIDUAL,NVDA,45,219.44,215.33,STOP,-184.95,-1.87
2026-05-23,INDIVIDUAL,GOOGL,26,384.08,382.97,STOP,-28.86,-0.29
2026-05-23,INDIVIDUAL,SBUX,97,103.08,103.11,STOP,2.91,0.03
2026-05-23,INDIVIDUAL,COST,9,1030.12,1028.24,STOP,-16.92,-0.18
,,TOTAL,,,,,-21.02,
